| id  | pathid | xtl  | ytl  | xbr  | ybr  | frame | occluded | outside |
| 115 |      5 |  154 |   66 |  202 |  114 |   390 |        0 |       0 |
| 116 |      5 |   56 |  149 |  107 |  199 |   276 |        0 |       0 |
| 117 |      5 |   44 |  177 |   95 |  227 |   277 |        0 |       0 |
| 118 |      5 |   48 |  181 |   99 |  231 |   278 |        0 |       0 |
| 119 |      5 |   50 |  187 |  101 |  237 |   279 |        0 |       0 |
| 120 |      5 |   52 |   81 |  100 |  127 |   414 |        0 |       0 |
| 121 |      5 |   66 |   99 |  114 |  145 |   415 |        0 |       0 |
| 122 |      5 |  189 |   47 |  238 |   95 |   429 |        0 |       0 |
| 123 |      5 |  180 |   44 |  229 |   92 |   428 |        0 |       0 |
| 124 |      5 |  158 |   54 |  207 |  102 |   447 |        0 |       0 |
| 125 |      5 |  128 |   93 |  177 |  142 |   368 |        0 |       0 |
| 126 |      5 |   93 |  180 |  142 |  229 |   369 |        0 |       0 |
| 127 |      5 |  132 |  105 |  182 |  155 |   366 |        0 |       0 |
| 128 |      5 |  128 |   93 |  178 |  143 |   367 |        0 |       0 |
| 129 |      5 |  141 |  109 |  191 |  159 |   364 |        0 |       0 |
| 130 |      5 |  137 |  105 |  187 |  155 |   365 |        0 |       0 |
| 131 |      5 |  183 |  134 |  233 |  184 |   362 |        0 |       0 |
| 132 |      5 |  170 |  122 |  220 |  172 |   363 |        0 |       0 |
| 133 |      5 |  203 |  164 |  250 |  208 |   360 |        0 |       0 |
| 134 |      5 |  195 |  147 |  242 |  191 |   361 |        0 |       0 |
| 135 |      5 |   57 |    1 |  105 |   47 |   406 |        0 |       0 |
| 136 |      5 |  209 |   74 |  258 |  122 |   440 |        0 |       0 |
| 137 |      5 |   46 |   61 |   94 |  107 |   412 |        0 |       0 |
| 138 |      5 |   54 |  105 |  103 |  154 |   300 |        0 |       0 |
| 139 |      5 |   43 |   97 |   92 |  146 |   301 |        0 |       0 |
| 140 |      5 |   35 |   92 |   84 |  141 |   302 |        0 |       0 |
| 141 |      5 |   20 |   91 |   69 |  140 |   303 |        0 |       0 |
| 142 |      5 |    1 |   81 |   50 |  130 |   304 |        0 |       0 |
| 143 |      5 |    0 |   75 |   48 |  124 |   305 |        0 |       0 |
| 144 |      5 |  179 |   51 |  228 |   99 |   445 |        0 |       0 |
| 145 |      5 |  188 |   52 |  237 |  100 |   444 |        0 |       0 |
| 146 |      5 |   65 |  195 |  114 |  239 |   380 |        0 |       0 |
| 147 |      5 |   56 |  167 |  106 |  216 |   296 |        0 |       0 |
| 148 |      5 |   66 |  191 |  114 |  239 |   382 |        0 |       0 |
| 149 |      5 |   81 |  183 |  129 |  231 |   383 |        0 |       0 |
| 150 |      5 |  102 |  152 |  150 |  200 |   384 |        0 |       0 |
| 151 |      5 |  115 |  122 |  163 |  170 |   385 |        0 |       0 |
| 152 |      5 |  122 |  118 |  170 |  166 |   386 |        0 |       0 |
| 153 |      5 |   64 |  142 |  114 |  191 |   297 |        0 |       0 |
| 154 |      5 |  144 |   89 |  192 |  137 |   388 |        0 |       0 |
| 155 |      5 |  144 |   81 |  192 |  129 |   389 |        0 |       0 |
| 156 |      5 |  192 |   55 |  241 |  103 |   443 |        0 |       0 |
| 157 |      5 |   89 |  115 |  137 |  161 |   418 |        0 |       0 |
| 158 |      5 |   52 |  184 |  102 |  233 |   295 |        0 |       0 |
| 159 |      5 |   70 |  197 |  118 |  239 |   381 |        0 |       0 |
| 160 |      5 |   49 |  188 |   99 |  237 |   292 |        0 |       0 |
| 161 |      5 |   47 |  188 |   97 |  237 |   293 |        0 |       0 |
| 162 |      5 |   49 |  187 |   99 |  236 |   290 |        0 |       0 |
| 163 |      5 |  218 |   78 |  267 |  126 |   438 |        0 |       0 |
| 164 |      5 |  218 |   73 |  267 |  121 |   439 |        0 |       0 |
| 165 |      5 |  211 |   81 |  260 |  129 |   436 |        0 |       0 |
| 166 |      5 |  213 |   83 |  262 |  131 |   437 |        0 |       0 |
| 167 |      5 |  218 |   56 |  267 |  104 |   434 |        0 |       0 |
| 168 |      5 |   47 |  188 |   97 |  237 |   291 |        0 |       0 |
| 169 |      5 |  208 |   52 |  257 |  100 |   432 |        0 |       0 |
| 170 |      5 |  214 |   53 |  263 |  101 |   433 |        0 |       0 |
| 171 |      5 |  195 |   47 |  244 |   95 |   430 |        0 |       0 |
| 172 |      5 |  196 |   46 |  245 |   94 |   431 |        0 |       0 |
| 173 |      5 |  199 |  136 |  246 |  185 |   339 |        0 |       0 |
| 174 |      5 |  201 |  125 |  248 |  174 |   338 |        0 |       0 |
| 175 |      5 |  202 |   92 |  249 |  141 |   335 |        0 |       0 |
| 176 |      5 |  202 |   96 |  249 |  145 |   334 |        0 |       0 |
| 177 |      5 |  202 |  115 |  249 |  164 |   337 |        0 |       0 |
| 178 |      5 |  204 |  100 |  251 |  149 |   336 |        0 |       0 |
| 179 |      5 |  205 |   88 |  252 |  137 |   331 |        0 |       0 |
| 180 |      5 |  203 |   92 |  250 |  141 |   330 |        0 |       0 |
| 181 |      5 |  208 |   91 |  255 |  140 |   333 |        0 |       0 |
| 182 |      5 |  208 |   89 |  255 |  138 |   332 |        0 |       0 |
| 183 |      5 |   50 |   69 |   98 |  115 |   413 |        0 |       0 |
| 184 |      5 |  174 |  181 |  221 |  230 |   344 |        0 |       0 |
| 185 |      5 |  178 |  188 |  225 |  237 |   345 |        0 |       0 |
| 186 |      5 |   65 |    0 |  113 |   46 |   405 |        0 |       0 |
| 187 |      5 |   59 |  149 |  109 |  195 |   225 |        0 |       1 |
| 188 |      5 |  134 |  106 |  182 |  154 |   387 |        0 |       0 |
| 189 |      5 |  179 |   55 |  228 |  103 |   446 |        0 |       0 |
| 190 |      5 |   37 |   29 |   85 |   75 |   409 |        0 |       0 |
| 191 |      5 |   46 |   17 |   94 |   63 |   408 |        0 |       0 |
| 192 |      5 |  183 |   34 |  232 |   82 |   427 |        0 |       0 |
| 193 |      5 |  148 |   21 |  196 |   69 |   395 |        0 |       0 |
| 194 |      5 |  141 |   48 |  190 |   96 |   449 |        0 |       0 |
| 195 |      5 |  155 |   28 |  203 |   76 |   394 |        0 |       0 |
| 196 |      5 |  178 |   38 |  226 |   84 |   426 |        0 |       0 |
| 197 |      5 |  145 |   53 |  194 |  101 |   448 |        0 |       0 |
| 198 |      5 |  208 |   67 |  257 |  115 |   441 |        0 |       0 |
| 199 |      5 |  140 |   97 |  187 |  146 |   322 |        0 |       0 |
| 200 |      5 |  149 |   99 |  196 |  148 |   323 |        0 |       0 |
| 201 |      5 |  115 |   82 |  162 |  131 |   320 |        0 |       0 |
| 202 |      5 |  133 |   97 |  180 |  146 |   321 |        0 |       0 |
| 203 |      5 |  163 |   97 |  210 |  146 |   326 |        0 |       0 |
| 204 |      5 |  182 |   93 |  229 |  142 |   327 |        0 |       0 |
| 205 |      5 |  155 |  101 |  202 |  150 |   324 |        0 |       0 |
| 206 |      5 |  156 |   99 |  203 |  148 |   325 |        0 |       0 |
| 207 |      5 |  197 |   92 |  244 |  141 |   328 |        0 |       0 |
| 208 |      5 |  200 |   90 |  247 |  139 |   329 |        0 |       0 |
| 209 |      5 |  128 |   46 |  177 |   94 |   450 |        0 |       0 |
| 210 |      5 |   99 |  115 |  147 |  161 |   419 |        0 |       0 |
| 211 |      5 |  217 |   72 |  266 |  120 |   435 |        0 |       0 |
| 212 |      5 |  119 |   46 |  168 |   94 |   451 |        0 |       0 |
| 213 |      5 |  215 |  191 |  262 |  235 |   359 |        0 |       0 |
| 214 |      5 |  215 |  195 |  262 |  239 |   358 |        0 |       0 |
|  215 |      6 |    0 |   97 |   45 |  148 |  1300 |        0 |       0 |
|  216 |      6 |    0 |   99 |   42 |  150 |  1301 |        0 |       0 |
|  217 |      6 |  149 |  169 |  199 |  220 |  1263 |        0 |       0 |
|  218 |      6 |  165 |  167 |  215 |  218 |  1262 |        0 |       0 |
|  219 |      6 |  176 |  163 |  226 |  214 |  1261 |        0 |       0 |
|  220 |      6 |  195 |  157 |  243 |  200 |  1260 |        0 |       0 |
|  221 |      6 |   15 |  157 |   65 |  207 |  1316 |        0 |       0 |
|  222 |      6 |   11 |  162 |   61 |  212 |  1315 |        0 |       0 |
|  223 |      6 |   11 |  171 |   61 |  221 |  1314 |        0 |       0 |
|  224 |      6 |    6 |  169 |   56 |  219 |  1313 |        0 |       0 |
|  225 |      6 |    2 |  168 |   52 |  218 |  1312 |        0 |       0 |
|  226 |      6 |    3 |  160 |   41 |  211 |  1311 |        0 |       0 |
|  227 |      6 |    0 |  150 |   38 |  201 |  1310 |        0 |       0 |
|  228 |      6 |   14 |  158 |   64 |  208 |  1319 |        0 |       0 |
|  229 |      6 |   17 |  160 |   67 |  210 |  1318 |        0 |       0 |
|  230 |      6 |    4 |  131 |   54 |  181 |  1322 |        0 |       0 |
|  231 |      6 |    2 |  128 |   52 |  178 |  1323 |        0 |       0 |
|  232 |      6 |    6 |  148 |   56 |  198 |  1320 |        0 |       0 |
|  233 |      6 |    2 |  134 |   52 |  184 |  1321 |        0 |       0 |
|  234 |      6 |    6 |  158 |   56 |  208 |  1326 |        0 |       0 |
|  235 |      6 |   12 |  165 |   62 |  215 |  1327 |        0 |       0 |
|  236 |      6 |    3 |  131 |   53 |  181 |  1324 |        0 |       0 |
|  237 |      6 |    3 |  137 |   53 |  187 |  1325 |        0 |       0 |
|  238 |      6 |   15 |  167 |   65 |  217 |  1328 |        0 |       0 |
|  239 |      6 |   13 |  168 |   63 |  218 |  1329 |        0 |       0 |
|  240 |      6 |    0 |   67 |   44 |  118 |  1125 |        0 |       1 |
|  241 |      6 |  230 |  172 |  278 |  215 |  1252 |        0 |       0 |
|  242 |      6 |  200 |  192 |  248 |  235 |  1250 |        0 |       0 |
|  243 |      6 |  230 |  172 |  278 |  215 |  1251 |        0 |       0 |
|  244 |      6 |   24 |   89 |   74 |  139 |  1339 |        0 |       0 |
|  245 |      6 |   25 |  101 |   75 |  151 |  1338 |        0 |       0 |
|  246 |      6 |   25 |  129 |   75 |  179 |  1335 |        0 |       0 |
|  247 |      6 |   19 |  142 |   69 |  192 |  1334 |        0 |       0 |
|  248 |      6 |   25 |  108 |   75 |  158 |  1337 |        0 |       0 |
|  249 |      6 |   24 |  117 |   74 |  167 |  1336 |        0 |       0 |
|  250 |      6 |    9 |  175 |   59 |  225 |  1331 |        0 |       0 |
|  251 |      6 |   13 |   65 |   63 |  114 |  1239 |        0 |       0 |
|  252 |      6 |   19 |  149 |   69 |  199 |  1333 |        0 |       0 |
|  253 |      6 |   13 |  173 |   63 |  223 |  1330 |        0 |       0 |
|  254 |      6 |   12 |  162 |   62 |  212 |  1332 |        0 |       0 |
|  255 |      6 |   15 |  180 |   63 |  229 |  1241 |        0 |       0 |
|  256 |      6 |    0 |  173 |   48 |  222 |  1240 |        0 |       0 |
|  257 |      6 |   64 |  190 |  112 |  239 |  1243 |        0 |       0 |
|  258 |      6 |   46 |  189 |   94 |  238 |  1242 |        0 |       0 |
|  259 |      6 |   98 |  186 |  146 |  235 |  1245 |        0 |       0 |
|  260 |      6 |   76 |  190 |  124 |  239 |  1244 |        0 |       0 |
|  261 |      6 |  138 |  192 |  186 |  239 |  1247 |        0 |       0 |
|  262 |      6 |  123 |  188 |  171 |  237 |  1246 |        0 |       0 |
|  263 |      6 |  183 |  196 |  231 |  239 |  1249 |        0 |       0 |
|  264 |      6 |  163 |  195 |  211 |  239 |  1248 |        0 |       0 |
|  265 |      6 |   19 |  164 |   69 |  214 |  1348 |        0 |       0 |
|  266 |      6 |   20 |  167 |   70 |  217 |  1349 |        0 |       0 |
|  267 |      6 |    7 |  170 |   57 |  219 |  1220 |        0 |       0 |
|  268 |      6 |   23 |   83 |   73 |  133 |  1340 |        0 |       0 |
|  269 |      6 |   23 |   75 |   73 |  125 |  1341 |        0 |       0 |
|  270 |      6 |   22 |   80 |   72 |  130 |  1342 |        0 |       0 |
|  271 |      6 |   19 |   82 |   69 |  132 |  1343 |        0 |       0 |
|  272 |      6 |   23 |  101 |   73 |  151 |  1344 |        0 |       0 |
|  273 |      6 |   25 |  121 |   75 |  171 |  1345 |        0 |       0 |
|  274 |      6 |   26 |  132 |   76 |  182 |  1346 |        0 |       0 |
|  275 |      6 |   26 |  149 |   76 |  199 |  1347 |        0 |       0 |
|  276 |      6 |  194 |  157 |  244 |  206 |  1212 |        0 |       0 |
|  277 |      6 |  178 |  177 |  228 |  226 |  1213 |        0 |       0 |
|  278 |      6 |  150 |   93 |  200 |  142 |  1210 |        0 |       0 |
|  279 |      6 |  142 |   97 |  192 |  146 |  1211 |        0 |       0 |
|  280 |      6 |  104 |  183 |  154 |  232 |  1216 |        0 |       0 |
|  281 |      6 |   88 |  190 |  138 |  239 |  1217 |        0 |       0 |
|  282 |      6 |  185 |  187 |  235 |  236 |  1214 |        0 |       0 |
|  283 |      6 |  147 |  187 |  197 |  236 |  1215 |        0 |       0 |
|  284 |      6 |   56 |  188 |  106 |  237 |  1218 |        0 |       0 |
|  285 |      6 |   20 |  179 |   70 |  228 |  1219 |        0 |       0 |
|  286 |      6 |  247 |  119 |  297 |  168 |  1189 |        0 |       0 |
|  287 |      6 |  214 |  149 |  264 |  198 |  1209 |        0 |       0 |
|  288 |      6 |  216 |  150 |  266 |  199 |  1208 |        0 |       0 |
|  289 |      6 |  198 |   59 |  248 |  108 |  1205 |        0 |       0 |
|  290 |      6 |  201 |   58 |  251 |  107 |  1204 |        0 |       0 |
|  291 |      6 |  223 |  146 |  273 |  195 |  1207 |        0 |       0 |
|  292 |      6 |  234 |  136 |  284 |  185 |  1206 |        0 |       0 |
|  293 |      6 |    0 |   71 |   51 |  120 |  1169 |        0 |       0 |
|  294 |      6 |  207 |   47 |  257 |   96 |  1203 |        0 |       0 |
|  295 |      6 |   19 |  176 |   69 |  226 |  1351 |        0 |       0 |
|  296 |      6 |  269 |   41 |  319 |   90 |  1191 |        0 |       0 |
|  297 |      6 |  256 |  111 |  306 |  160 |  1190 |        0 |       0 |
|  298 |      6 |   23 |   80 |   73 |  131 |  1298 |        0 |       0 |
|  299 |      6 |    8 |   90 |   58 |  141 |  1299 |        0 |       0 |
|  300 |      6 |   57 |   14 |  107 |   65 |  1292 |        0 |       0 |
|  301 |      6 |   45 |   38 |   95 |   89 |  1293 |        0 |       0 |
|  302 |      6 |   19 |  176 |   69 |  226 |  1350 |        0 |       0 |
|  303 |      6 |   31 |   67 |   81 |  118 |  1296 |        0 |       0 |
|  304 |      6 |   29 |   72 |   79 |  123 |  1297 |        0 |       0 |
|  305 |      6 |   35 |   55 |   85 |  106 |  1294 |        0 |       0 |
|  306 |      6 |   29 |   58 |   79 |  109 |  1295 |        0 |       0 |
|  307 |      6 |  152 |   90 |  202 |  139 |  1177 |        0 |       0 |
|  308 |      6 |   75 |  167 |  125 |  216 |  1174 |        0 |       0 |
|  309 |      6 |   62 |  160 |  112 |  209 |  1173 |        0 |       0 |
|  310 |      6 |   28 |  158 |   78 |  207 |  1172 |        0 |       0 |
|  311 |      6 |    0 |  155 |   50 |  204 |  1171 |        0 |       0 |
|  312 |      6 |    0 |   73 |   50 |  122 |  1170 |        0 |       0 |
|  313 |      6 |  166 |   92 |  216 |  141 |  1178 |        0 |       0 |
|  314 |      7 |  109 |    8 |  163 |   56 |   623 |        0 |       0 |
|  315 |      7 |   30 |   15 |   84 |   63 |   669 |        0 |       0 |
|  316 |      7 |  105 |    8 |  159 |   56 |   622 |        0 |       0 |
|  317 |      7 |  107 |    1 |  161 |   49 |   608 |        0 |       0 |
|  318 |      7 |   52 |    5 |  106 |   53 |   666 |        0 |       0 |
|  319 |      7 |   73 |    1 |  127 |   49 |   665 |        0 |       0 |
|  320 |      7 |   85 |    1 |  139 |   49 |   664 |        0 |       0 |
|  321 |      7 |   87 |    1 |  141 |   49 |   663 |        0 |       0 |
|  322 |      7 |  107 |   10 |  161 |   58 |   621 |        0 |       0 |
|  323 |      7 |  100 |    1 |  154 |   49 |   661 |        0 |       0 |
|  324 |      7 |  100 |    2 |  154 |   50 |   660 |        0 |       0 |
|  325 |      7 |  110 |   10 |  164 |   58 |   620 |        0 |       0 |
|  326 |      7 |   48 |   96 |   97 |  141 |   498 |        0 |       0 |
|  327 |      7 |   55 |   79 |  104 |  124 |   499 |        0 |       0 |
|  328 |      7 |   42 |  173 |   91 |  218 |   494 |        0 |       0 |
|  329 |      7 |   43 |  138 |   92 |  183 |   495 |        0 |       0 |
|  330 |      7 |   50 |  127 |   99 |  172 |   496 |        0 |       0 |
|  331 |      7 |   51 |  119 |  100 |  164 |   497 |        0 |       0 |
|  332 |      7 |   38 |  194 |   87 |  239 |   490 |        0 |       0 |
|  333 |      7 |   39 |  194 |   88 |  239 |   491 |        0 |       0 |
|  334 |      7 |   41 |  194 |   90 |  239 |   492 |        0 |       0 |
|  335 |      7 |   41 |  181 |   90 |  226 |   493 |        0 |       0 |
|  336 |      7 |   38 |    9 |   92 |   57 |   668 |        0 |       0 |
|  337 |      7 |  270 |   15 |  319 |   60 |   542 |        0 |       0 |
|  338 |      7 |  271 |   16 |  319 |   61 |   543 |        0 |       0 |
|  339 |      7 |  269 |   14 |  318 |   59 |   540 |        0 |       0 |
|  340 |      7 |  269 |    8 |  318 |   53 |   541 |        0 |       0 |
|  341 |      7 |  272 |   10 |  319 |   55 |   546 |        0 |       0 |
|  342 |      7 |  272 |   15 |  319 |   60 |   547 |        0 |       0 |
|  343 |      7 |  271 |   17 |  319 |   62 |   544 |        0 |       0 |
|  344 |      7 |  272 |   16 |  319 |   61 |   545 |        0 |       0 |
|  345 |      7 |  268 |   15 |  315 |   60 |   548 |        0 |       0 |
|  346 |      7 |  260 |   13 |  307 |   58 |   549 |        0 |       0 |
|  347 |      7 |  121 |   33 |  168 |   76 |   571 |        0 |       0 |
|  348 |      7 |  115 |   26 |  162 |   69 |   567 |        0 |       0 |
|  349 |      7 |  121 |   37 |  168 |   80 |   570 |        0 |       0 |
|  350 |      7 |   32 |   67 |   86 |  115 |   675 |        0 |       0 |
|  351 |      7 |   37 |   58 |   91 |  106 |   674 |        0 |       0 |
|  352 |      7 |   70 |  126 |  117 |  169 |   577 |        0 |       0 |
|  353 |      7 |   27 |   70 |   81 |  118 |   676 |        0 |       0 |
|  354 |      7 |   30 |   23 |   84 |   71 |   670 |        0 |       0 |
|  355 |      7 |   31 |   28 |   85 |   76 |   671 |        0 |       0 |
|  356 |      7 |   33 |   43 |   87 |   91 |   672 |        0 |       0 |
|  357 |      7 |   78 |  104 |  125 |  147 |   576 |        0 |       0 |
|  358 |      7 |  122 |   38 |  169 |   81 |   573 |        0 |       0 |
|  359 |      7 |   42 |   25 |   96 |   73 |   651 |        0 |       0 |
|  360 |      7 |   89 |   84 |  136 |  127 |   575 |        0 |       0 |
|  361 |      7 |   96 |   74 |  143 |  117 |   574 |        0 |       0 |
|  362 |      7 |   37 |   55 |   91 |  103 |   673 |        0 |       0 |
|  363 |      7 |  255 |    9 |  304 |   54 |   537 |        0 |       0 |
|  364 |      7 |  250 |    4 |  299 |   49 |   536 |        0 |       0 |
|  365 |      7 |  250 |    5 |  299 |   50 |   535 |        0 |       0 |
|  366 |      7 |  256 |    4 |  305 |   49 |   534 |        0 |       0 |
|  367 |      7 |  260 |    2 |  309 |   47 |   533 |        0 |       0 |
|  368 |      7 |  266 |    2 |  315 |   47 |   532 |        0 |       0 |
|  369 |      7 |  270 |    3 |  319 |   48 |   531 |        0 |       0 |
|  370 |      7 |  269 |   15 |  318 |   60 |   539 |        0 |       0 |
|  371 |      7 |  263 |   15 |  312 |   60 |   538 |        0 |       0 |
|  372 |      7 |   70 |  157 |  124 |  206 |   591 |        0 |       0 |
|  373 |      7 |   55 |  193 |  102 |  234 |   590 |        0 |       0 |
|  374 |      7 |  124 |   55 |  178 |  104 |   593 |        0 |       0 |
|  375 |      7 |  106 |   99 |  160 |  148 |   592 |        0 |       0 |
|  376 |      7 |  126 |   27 |  180 |   76 |   595 |        0 |       0 |
|  377 |      7 |  124 |   34 |  178 |   83 |   594 |        0 |       0 |
|  378 |      7 |  128 |    5 |  182 |   54 |   597 |        0 |       0 |
|  379 |      7 |  128 |   14 |  182 |   63 |   596 |        0 |       0 |
|  380 |      7 |  124 |    1 |  178 |   50 |   599 |        0 |       0 |
|  381 |      7 |  123 |    1 |  177 |   50 |   598 |        0 |       0 |
|  382 |      7 |  115 |    8 |  169 |   56 |   629 |        0 |       0 |
|  383 |      7 |   36 |    5 |   90 |   53 |   667 |        0 |       0 |
|  384 |      7 |  113 |    8 |  167 |   56 |   628 |        0 |       0 |
|  385 |      7 |  101 |   15 |  155 |   63 |   613 |        0 |       0 |
|  386 |      7 |   55 |  192 |  102 |  233 |   586 |        0 |       0 |
|  387 |      7 |   55 |  194 |  102 |  235 |   587 |        0 |       0 |
|  388 |      7 |   55 |  195 |  102 |  236 |   584 |        0 |       0 |
|  389 |      7 |   55 |  195 |  102 |  236 |   585 |        0 |       0 |
|  390 |      7 |   55 |  192 |  102 |  235 |   582 |        0 |       0 |
|  391 |      7 |   55 |  198 |  102 |  239 |   583 |        0 |       0 |
|  392 |      7 |   55 |  176 |  102 |  219 |   580 |        0 |       0 |
|  393 |      7 |   55 |  184 |  102 |  227 |   581 |        0 |       0 |
|  394 |      7 |   55 |  192 |  102 |  233 |   588 |        0 |       0 |
|  395 |      7 |   55 |  191 |  102 |  232 |   589 |        0 |       0 |
|  396 |      7 |   99 |   16 |  153 |   64 |   615 |        0 |       0 |
|  397 |      7 |  116 |    8 |  170 |   56 |   630 |        0 |       0 |
|  398 |      7 |  246 |    1 |  295 |   46 |   519 |        0 |       0 |
|  399 |      7 |  213 |    1 |  262 |   46 |   518 |        0 |       0 |
|  400 |      7 |   62 |    5 |  116 |   53 |   643 |        0 |       0 |
|  401 |      7 |   70 |    4 |  124 |   52 |   642 |        0 |       0 |
